,ssc_name,total_persons
388,BLACK RANGE,217
389,BLACK SPRINGS,225
390,BLACKALLS PARK,2879
391,BLACKBUTT,3436
392,BLACKETT,3596
393,BLACKHEATH,4543
394,BLACKMANS FLAT,30
395,BLACKMANS POINT,173
396,BLACKSMITHS,1885
397,BLACKTOWN,49662
398,BLACKVILLE,119
399,BLACKWALL,1969
400,BILGOLA BEACH,251
401,BILGOLA PLATEAU,3757
402,BLAIR ATHOL,3173
403,BLAIRMOUNT,437
404,BLAKEBROOK,154
405,BLAKEHURST,6693
406,BLAKNEY CREEK,67
407,BLAND,43
408,BLANDFORD,183
409,BLAXLAND,7699
410,BLAXLANDS CREEK,119
411,BLAXLANDS RIDGE,518
412,BLAYNEY,3399
413,BLIGH PARK,6513
414,BLIGHTY,139
415,BLOWERING,0
416,BLUE BAY,1041
417,BLUE HAVEN,6609
418,BLUE KNOB,229
419,BLUE MOUNTAINS NATIONAL PARK,1
420,BLUE NOBBY,27
421,BLUE VALE,63
422,BLUEYS BEACH,194
423,BOAMBEE,1697
424,BOAMBEE EAST,5381
425,BOAMBOLO,60
426,BOAT HARBOUR (LISMORE),153
427,BOAT HARBOUR (PORT STEPHENS),1049
428,BOBADAH,13
429,BOBIN,155
430,BOBS CREEK,93
431,BOBS FARM,446
432,BOBUNDARA,17
433,BOCO,2
434,BOCOBLE,160
435,BOCOBRA,51
436,BODALLA,752
437,BODANGORA,83
438,BOEILL CREEK,105
439,BOGAN,13
440,BOGAN GATE,291
441,BOGANGAR,3201
442,BOGEE,83
443,BOGGABILLA,1003
444,BOGGABRI,1098
445,BOGONG PEAKS WILDERNESS,0
446,BOHENA CREEK,175
447,BOHNOCK,70
448,BOLARO,42
449,BOLIVIA,67
450,BOLONG,108
451,BOLTON POINT,2155
452,BOOKRAM,0
453,BOOLAMBAYTE,86
454,BOOLAROO,1045
455,BOOLCARROLL,14
456,BOOLIGAL,97
457,BOOLIJAH,0
458,BOOMANOOMANA,98
459,BOOMERANG BEACH,313
460,BOOMEY,76
461,BOOMI,207
462,BOOMI CREEK,18
463,BOONA MOUNT,22
464,BOONAL,43
465,BOONOO BOONOO,16
466,BOORABEE PARK,105
467,BOORAGUL,1305
468,BOORAL,408
469,BOORGA,12
470,BOORGANNA,27
471,BOOROLONG,88
472,BOLWARRA,1068
473,BOLWARRA HEIGHTS,3187
474,BOM BOM,2
475,BOMADERRY,6863
